region,ticker,company,sector
USA,AAPL,Apple,IT
USA,MSFT,Microsoft,IT
USA,NVDA,NVIDIA,IT
USA,ORCL,Oracle,IT
USA,IBM,IBM,IT
USA,GOOGL,Alphabet,IT
USA,AMZN,Amazon,Consumer Discretionary
USA,META,Meta Platforms,IT
USA,CSCO,Cisco Systems,IT
USA,INTU,Intuit,IT
USA,JNJ,Johnson & Johnson,Healthcare
USA,PFE,Pfizer,Healthcare
USA,MRK,Merck & Co.,Healthcare
USA,ABBV,AbbVie,Healthcare
USA,UNH,UnitedHealth Group,Healthcare
USA,LLY,Eli Lilly,Healthcare
USA,AMGN,Amgen,Healthcare
USA,BMY,Bristol Myers Squibb,Healthcare
USA,KO,Coca-Cola,Consumer Staples
USA,PG,Procter & Gamble,Consumer Staples
USA,PEP,PepsiCo,Consumer Staples
USA,JPM,JP Morgan Chase,Financials
USA,BAC,Bank of America,Financials
USA,GS,Goldman Sachs,Financials
USA,MS,Morgan Stanley,Financials
USA,XOM,Exxon Mobil,Energy
USA,CVX,Chevron,Energy
USA,CAT,Caterpillar,Industrials
USA,GE,General Electric,Industrials
USA,MMM,3M,Industrials
Europe,SAP.DE,SAP,IT
Europe,IFX.DE,Infineon,IT
Europe,FME.DE,Fresenius Medical,Healthcare
Europe,SHL.DE,Siemens Healthineers,Healthcare
Europe,BAS.DE,BASF,Materials
Europe,BAYN.DE,Bayer,Healthcare
Europe,SIE.DE,Siemens,Industrials
Europe,ALV.DE,Allianz,Financials
Europe,DBK.DE,Deutsche Bank,Financials
Europe,HSBA.L,HSBC,Financials
Europe,BP.L,BP,Energy
Europe,ULVR.L,Unilever,Consumer Staples
Europe,AIR.PA,Airbus,Industrials
Europe,OR.PA,L'Oréal,Consumer Staples
Europe,ASML.AS,ASML,IT
Europe,NOVN.SW,Novartis,Healthcare
Europe,ROG.SW,Roche,Healthcare
Europe,UBSG.SW,UBS Group,Financials
Asia-Pacific,7203.T,Toyota Motor,Consumer Discretionary
Asia-Pacific,6758.T,Sony,IT
Asia-Pacific,9432.T,NTT,Telecommunications
Asia-Pacific,9984.T,SoftBank,IT
Asia-Pacific,7267.T,Honda Motor,Consumer Discretionary
Asia-Pacific,6861.T,Keyence,IT
Asia-Pacific,6501.T,Hitachi,Industrials
